OBJECTID,PrimaryKey,PlotID,DBKey,Species,AH_SpeciesCover,Hgt_Species_Avg,AH_SpeciesCover_n,Hgt_Species_Avg_n,GrowthHabit,GrowthHabitSub,Duration,Noxious,SG_Group,SpeciesState,State
674650,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPPO,3.333333000000000,22.800000000000001,5,5,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674651,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,LEMO2,0.666666700000000,,1,,NonWoody,Forb,Perennial,NO,,CO,CO
674652,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,YUHA,1.333333000000000,,2,,Woody,Succulent,Perennial,NO,,CO,CO
674653,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ATCO,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674654,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ACHY,,,,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674655,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,BRTE,,,,,NonWoody,Graminoid,Annual,YES,,CO,CO
674656,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ECTR,,,,,Woody,Succulent,Perennial,NO,,CO,CO
674657,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,JUOS,,,,,Woody,Tree,Perennial,NO,,CO,CO
674658,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,KOAM,,,,,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674659,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SATR12,,,,,NonWoody,Forb,Annual,NO,,CO,CO
674660,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SH00,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674661,18060417475223122018-09-01,SD-325,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SPCO,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674662,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PLJA,6.000000000000000,18.875000000000000,9,8,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674663,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ATCO4,0.666666700000000,9.500000000000000,1,2,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674664,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ATGA,8.666667000000000,11.250000000000000,13,4,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674665,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PF00,,4.000000000000000,,1,NonWoody,Forb,Perennial,NO,,CO,CO
674666,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,EPVI,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674667,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ACHY,,,,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674668,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ECTR,,,,,Woody,Succulent,Perennial,NO,,CO,CO
674669,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SPCO,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674670,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PHCRC,,,,,NonWoody,Forb,Annual,NO,PreferredForb,CO,CO
674671,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,XYVE,,,,,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674672,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,KOAM,,,,,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674673,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,GUSA2,,,,,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674674,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,LEMO2,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674675,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPPO,,,,,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674676,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,BRTE,,,,,NonWoody,Graminoid,Annual,YES,,CO,CO
674677,18060509563978892018-09-01,SD-327,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ERTR13,,,,,NonWoody,Graminoid,Annual,NO,,CO,CO
674678,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ELEL5,2.000000000000000,16.333330000000000,3,3,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674679,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,POSE,4.666667000000000,22.600000000000001,7,5,NonWoody,Graminoid,Perennial,NO,ShortStaturePerennialGrass,CO,CO
674680,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,KOMA,3.333333000000000,15.600000000000000,5,5,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674681,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ARTRT,6.000000000000000,50.200000000000003,9,5,Woody,Shrub,Perennial,NO,Sagebrush,CO,CO
674682,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,AMUT,2.666667000000000,,4,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674683,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,POFE,0.666666700000000,17.000000000000000,1,1,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674684,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PIED,28.000000000000000,303.071399999999983,42,14,Woody,Tree,Perennial,NO,,CO,CO
674685,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,QUGA,14.000000000000000,185.000000000000000,21,4,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674686,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SYRO,9.333333000000000,194.500000000000000,14,2,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674687,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PERA4,0.666666700000000,10.000000000000000,1,1,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674688,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SH00,0.666666700000000,,1,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674689,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,EREA,1.333333000000000,,2,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674690,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,AF00,,2.000000000000000,,1,NonWoody,Forb,Annual,NO,,CO,CO
674691,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ERRA3,,7.000000000000000,,1,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674692,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PECO5,,10.000000000000000,,1,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674693,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PEPU7,,6.000000000000000,,1,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674694,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PG00,,21.000000000000000,,1,NonWoody,Graminoid,Perennial,NO,,CO,CO
674695,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CHVI8,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674696,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ARTRW8,,,,,Woody,Shrub,Perennial,NO,Sagebrush,CO,CO
674697,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PUPA5,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674698,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,JUOS,,,,,Woody,Tree,Perennial,NO,,CO,CO
674699,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PASM,,,,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674700,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,MARE11,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674701,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,TAOF,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674702,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,BOGR2,,,,,NonWoody,Graminoid,Perennial,NO,ShortStaturePerennialGrass,CO,CO
674703,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPPO,,,,,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674704,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SELA,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674705,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,LUBR2,,,,,NonWoody,Forb,Annual,NO,,CO,CO
674706,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PF04,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674707,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CRFL5,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674708,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,THEL,,,,,NonWoody,Forb,Annual,NO,,CO,CO
674709,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,TEIV,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674710,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PHLO2,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674711,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,LUAR3,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674715,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ELEL5,0.666666700000000,,1,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674716,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,GUSA2,0.666666700000000,10.750000000000000,1,8,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674717,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,AGCR,22.000000000000000,22.576920000000001,33,26,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674718,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,JUOS,2.666667000000000,89.000000000000000,4,1,Woody,Tree,Perennial,NO,,CO,CO
674719,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ARFR4,0.666666700000000,25.666670000000000,1,3,Woody,SubShrub,Perennial,NO,Sagebrush,CO,CO
674720,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PIED,2.000000000000000,,3,,Woody,Tree,Perennial,NO,,CO,CO
674721,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ERRA3,1.333333000000000,,2,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674722,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,TEIV,0.666666700000000,8.000000000000000,1,3,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674723,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,AF03,,1.000000000000000,,1,NonWoody,Forb,Annual,NO,,CO,CO
674724,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SH00,,17.000000000000000,,1,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674725,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPPO,,,,,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674726,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,HYFI,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674727,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,MIMUG,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674728,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PHHO,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674729,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,SPCO,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674730,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ACHY,,,,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674731,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,HEVI4,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674732,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CHGL13,,,,,NonWoody,Forb,Annual,NO,,CO,CO
674733,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,CHSC,,,,,NonWoody,Forb,Perennial,NO,,CO,CO
674734,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,LESA4,,,,,NonWoody,Graminoid,Perennial,NO,,CO,CO
674735,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ERNA10,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674736,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ERAL4,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674737,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ASAM5,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674738,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PEST2,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674739,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,EPVI,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674740,18060608475295222018-09-01,SS-223,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,LECI4,,,,,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674741,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ARTRW8,8.666667000000000,55.600000000000001,13,5,Woody,Shrub,Perennial,NO,Sagebrush,CO,CO
674742,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,BRTE,1.333333000000000,,2,,NonWoody,Graminoid,Annual,YES,,CO,CO
674743,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,POSE,8.000000000000000,15.461539999999999,12,13,NonWoody,Graminoid,Perennial,NO,ShortStaturePerennialGrass,CO,CO
674744,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,GUSA2,0.666666700000000,,1,,Woody,SubShrub,Perennial,NO,NonSagebrushShrub,CO,CO
674745,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ARNO4,2.000000000000000,25.750000000000000,3,4,Woody,Shrub,Perennial,NO,Sagebrush,CO,CO
674746,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ACLE9,1.333333000000000,13.666670000000000,2,3,NonWoody,Graminoid,Perennial,NO,TallStaturePerennialGrass,CO,CO
674747,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,AMUT,4.666667000000000,98.000000000000000,7,2,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674714,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,HEFO9,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674713,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ERUM,,,,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674712,18060515553867722018-09-01,MMS-071,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,ATCA2,,,,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674748,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,JUOS,2.000000000000000,,3,,Woody,Tree,Perennial,NO,,CO,CO
674749,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PIED,21.333330000000000,373.500000000000000,32,6,Woody,Tree,Perennial,NO,,CO,CO
674750,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,HEVI4,0.666666700000000,,1,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674751,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,QUGA,0.666666700000000,,1,,Woody,Shrub,Perennial,NO,NonSagebrushShrub,CO,CO
674752,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PEPU7,0.666666700000000,,1,,NonWoody,Forb,Perennial,NO,PreferredForb,CO,CO
674753,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,BOGR2,4.666667000000000,16.750000000000000,7,4,NonWoody,Graminoid,Perennial,NO,ShortStaturePerennialGrass,CO,CO
674754,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPFR,,9.500000000000000,,2,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
674755,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,PG00,,9.000000000000000,,1,NonWoody,Graminoid,Perennial,NO,,CO,CO
674756,18062811461094522018-09-01,MMS-072,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,OPPO,,,,,Woody,Succulent,Perennial,NO,PreferredForb,CO,CO
